"","abstract","yearsActive","genre","recordLabel","instrument","occupation","yearsActive_first"
"Wycliffe_Gordon","Professor Wycliffe A. Gordon (born May 29, 1967) is an American jazz trombonist, arranger, composer, band leader, and music educator at the collegiate_conservatory level. Gordon also sings and plays didgeridoo, trumpet, tuba, and piano. His nickname is ""Pinecone"". ","","Jazz","Chesky_Records,Criss_Cross_Jazz,WJ3_Records","Trombone ","Musician ",
"John_Mayer_Trio","The John Mayer Trio is a blues rock band that formed in Los Angeles, California in 2005. Comprising singer_songwriter and guitarist John Mayer, bassist Pino Palladino and drummer Steve Jordan, the band has released one live album, Try! in 2005. Three of the songs on the album were co_written by Jordan, Mayer, and Palladino, and the album was co_produced by Mayer and Jordan. ","2005","Blues_rock,Electric_blues","Columbia_Records,Aware_Records","","",2005
"Vincent_Herring","Vincent Dwayne Herring (born November 19, 1964) is an American jazz saxophonist, flautist, composer, and educator. Known for his fiery and soulful playing in the bands of Horace Silver, Freddie Hubbard, and Nat Adderley in the earlier stages of his career, he now frequently performs around the world with his own groups and is heavily involved in jazz education. ","1982","Jazz","MusicMasters_Records,Smoke_Sessions_Records,Landmark_Records,HighNote_Records","Saxophone, flute ","Musician ",1982
"Camille_Thurman","Camille Thurman (born December 22, 1986) is an American jazz musician, composer, and member of the Jazz at Lincoln Center Orchestra. Her first two albums, released by Chesky Records in 2018 and 2017, peaked at #3 and #25 respectively on the Billboard Jazz Albums Chart. She has performed at the Kennedy Center, and was a runner up for the 2013 Sarah Vaughan International Vocal Competition. ","2008","Jazz ","Chesky_Records","Saxophone, flute ","Musician ",2008
"Roman_Miroshnichenko","Roman Maksimovich Miroshnichenko (Russian: ?оман ?ак?имови? ?и?о?ни?енко) (born June 4, 1977) is a Ukrainian and Russian multi_award winning jazz fusion guitarist, composer, and record producer. He has received numerous accolades, including four The Independent Music Awards, 1st Prize of the USA Songwriting Competition, 1st Prize of the International Acoustic Music Awards, three Global Music Awards and three Hollywood Music in Media Awards nominees. ","1994","Instrumental_rock,World_music,Latin_jazz,Jazz_fusion","Melodiya","Guitar ","Musician, composer, record producer ",1994
"Aaron_Goldberg","Aaron Goldberg is an American jazz pianist. Described by The New York Times as a ""post_bop pianist of exemplary taste and range,"" Goldberg has released five albums as a solo artist and has performed and collaborated with Joshua Redman, Wynton Marsalis, Kurt Rosenwinkel, and Guillermo Klein, among others. ","1995","Jazz ","Sunnyside_Records","Piano ","Musician, composer ",1995
"John_Mayer","John Clayton Mayer (/?meɪ.?r/ MAY_?r; born October 16, 1977) is an American singer, songwriter, and guitarist. Born and raised in Fairfield County, Connecticut, Mayer attended Berklee College of Music in Boston, but left and moved to Atlanta in 1997 with Clay Cook. Together, they formed a short_lived two_man band called Lo_Fi Masters. After their split, Mayer continued to play local clubs, refining his skills and gaining a following. After his appearance at a 2001 South by Southwest Festival, he was signed to Aware Records, and eventually to Columbia Records, which released his first extended play Inside Wants Out. His following two studio albums?�Room for Squares (2001) and Heavier Things (2003)?�performed well commercially, achieving multi_platinum status. In 2003, he won the Grammy Award for Best Male Pop Vocal Performance for his single ""Your Body Is a Wonderland"". By 2005, Mayer had moved away from the acoustic music that characterized his early records, and begun performing the blues and rock music that had originally influenced him as a musician. He collaborated with blues artists such as B. B. King, Buddy Guy, and Eric Clapton. Forming the John Mayer Trio, he released a live album, Try!, in 2005 and his third studio album Continuum in 2006. Both albums received positive reviews, and Continuum earned Mayer a 2007 Grammy Award for Best Pop Vocal Album. He also won Best Male Pop Vocal Performance for ""Waiting on the World to Change"". That album was followed by Battle Studies in 2009, a return to pop, with a Battle Studies World Tour. After having several controversial incidents with the media, Mayer withdrew from public life in 2010 and began work on his fifth studio album, Born and Raised, which drew inspiration from the 1970s pop music of Laurel Canyon. However, the discovery of a granuloma on his vocal cords delayed the release of the album until May 2012, and forced him to cancel the planned tour. The album received a generally favorable reception, though was less commercially successful than his previous work. Mayer began performing as a singer again in January 2013, and that year released his sixth studio album, Paradise Valley, which incorporates country music influences. By 2014, he had sold a total of over 20 million albums worldwide. His seventh album, The Search for Everything, a loose concept album based around the theme of a romantic break_up, was released in 2017. Mayer released his latest album Sob Rock, inspired by 1980s soft rock music, in July 2021. In 2015, three former members of the Grateful Dead joined with Mayer and two other musicians to form the band Dead & Company. It is the latest of several reunions of the band's surviving members since Jerry Garcia's death in 1995. The band remains active and its tours have been well received. Mayer's secondary career pursuits extend to television hosting, comedy, and writing; he has authored columns for magazines such as Esquire. He supports various causes and has performed at charity benefits. He is a watch aficionado (with a collection he values in the ""tens of millions"" of dollars), contributing to the watch site Hodinkee, and has been on the jury at the Grand Prix d'Horlogerie de Genève. ","1998","","","","Singer   ,guitarist ,songwriter ",1998
"Vanessa_Rubin","Vanessa Rubin (born March 14, 1957) is an American jazz vocalist. ","1980","Jazz,Rhythm_and_blues","RCA_Records,Telarc_International_Corporation,Novus_Records","","Singer ",1980
"Nat_Adderley","Nathaniel Carlyle Adderley (November 25, 1931 ??January 2, 2000) was an American jazz trumpeter. He was the younger brother of saxophonist Julian ""Cannonball"" Adderley, whom he supported and played with for many years. Adderley's composition ""Work Song"" (1960) is a jazz standard, and also became a success on the pop charts after singer Oscar Brown Jr. wrote lyrics for it. ","","Jazz","Savoy_Records,Milestone_Records,Riverside_Records,EmArcy_Records,Atlantic_Records,Wing_Records","Cornet,Trumpet","Musician, composer ",
"Dr._John","Malcolm John Rebennack Jr. (November 20, 1941 ??June 6, 2019), better known by his stage name Dr. John, was an American singer and songwriter. His music combined blues, pop, jazz, boogie_woogie, funk, and rock and roll. Active as a session musician from the late 1950s until his death, he gained a following in the late 1960s after the release of his album Gris_Gris and his appearance at the Bath Festival of Blues and Progressive Music. He typically performed a lively, theatrical stage show inspired by medicine shows, Mardi Gras costumes, and voodoo ceremonies. Rebennack recorded thirty studio albums and nine live albums, as well as contributing to thousands of other musicians' recordings. In 1973, he achieved a top 10 hit single with ""Right Place, Wrong Time"". ","1950","Rhythm and blues   ,blues ,rock ,soul ,funk ,jazz ,boogie_woogie ","Concord_Records,Proper_Records,Blue_Note_Records,Atco_Records,Nonesuch_Records",",Vocals ,keyboards ","Musician ",1950
"Paul_Chambers","Paul Laurence Dunbar Chambers Jr. (April 22, 1935 ??January 4, 1969) was an American jazz double bassist. A fixture of rhythm sections during the 1950s and 1960s, his importance in the development of jazz bass can be measured not only by the extent of his work in this short period, but also by his impeccable timekeeping and virtuosic improvisations. He was also known for his bowed solos. Chambers recorded about a dozen albums as a leader or co_leader, and over 100 more as a sideman, especially as the anchor of trumpeter Miles Davis's ""first great quintet"" (1955??3) and with pianist Wynton Kelly (1963??8). ","1954","Jazz,Modal_jazz,Bebop,Hard_bop","Verve_Records,Prestige_Records,Riverside_Records,Blue_Note_Records","Double_bass","Musician, composer ",1954
"Stevie_Wonder","Stevland Hardaway Morris (born May 13, 1950), known professionally as Stevie Wonder, is an American singer, songwriter, musician and record producer. Wonder is credited as a pioneer and influence by musicians across a range of genres that includes rhythm and blues, pop, soul, gospel, funk, and jazz. A virtual one_man band, his use of synthesizers and other electronic musical instruments during the 1970s reshaped the conventions of R&B. He also helped drive the genre into the album era, crafting his LPs as cohesive, consistent socially conscious statements with complex compositions. Blind since shortly after his birth, Wonder was a child prodigy who signed with Motown's Tamla label at the age of 11, where he was given the professional name Little Stevie Wonder. In 1963, the single ""Fingertips"" was a number_one hit on the Billboard Hot 100 when Wonder was 13, making him the youngest artist ever to top the chart. Wonder's critical success was at its peak in the 1970s. His ""classic period"" began in 1972 with the releases of Music of My Mind and Talking Book, the latter featuring ""Superstition"", which is one of the most distinctive and famous examples of the sound of the Hohner Clavinet keyboard. His works Innervisions (1973), Fulfillingness' First Finale (1974) and Songs in the Key of Life (1976) all won the Grammy Award for Album of the Year, making him the tied_record holder for the most Album of the Year wins, with three. He is also the only artist to have won the award with three consecutive album releases. His ""classic period"", which culminated in 1976, was marked by his funky keyboard style, personal control of production, and use of integrated series of songs to make concept albums. In 1979, Wonder used Computer Music Inc.'s early music sampler, the Melodian, on his soundtrack album Stevie Wonder's Journey Through ""The Secret Life of Plants"". This was his first digital recording and one of the earliest popular albums to use the technology, which Wonder used for all subsequent recordings. Wonder is one of the world's best_selling musicians, with sales of over 100 million records worldwide. He has won 25 Grammy Awards (the most by a solo artist) and one Academy Award (Best Original Song, for the 1984 film The Woman in Red). Wonder has been inducted into the Rhythm and Blues Music Hall of Fame, Rock and Roll Hall of Fame and Songwriters Hall of Fame. He is also noted for his work as an activist for political causes, including his 1980 campaign to make Martin Luther King Jr.'s birthday a federal holiday in the U.S. In 2009, he was named a United Nations Messenger of Peace, and in 2014, he was honored with the Presidential Medal of Freedom. ","1961","","","","Singer   ,musician ,record producer ,songwriter ",1961
"Billy_Taylor","Billy Taylor (July 24, 1921 ??December 28, 2010) was an American jazz pianist, composer, broadcaster and educator. He was the Robert L. Jones Distinguished Professor of Music at East Carolina University in Greenville, and from 1994 was the artistic director for jazz at the John F. Kennedy Center for the Performing Arts in Washington, D.C. A jazz activist, Taylor sat on the Honorary Founders Board of The Jazz Foundation of America, an organisation he founded in 1989, with Ann Ruckert, Herb Storfer and Phoebe Jacobs, to save the homes and the lives of America's elderly jazz and blues musicians, later including musicians who survived Hurricane Katrina. Taylor was a jazz educator, who lectured in colleges, served on panels and travelled worldwide as a jazz ambassador. Critic Leonard Feather once said, ""It is almost indisputable that Dr. Billy Taylor is the world's foremost spokesman for jazz."" ","1944","Jazz,Hard_bop","","Piano ","Musician, composer, educator, broadcaster ",1944
"Tommy_Campbell_(musician)","Thomas W. Campbell (born February 14, 1957, Norristown, Pennsylvania) is an American jazz drummer. Campbell's uncle is Jimmy Smith; Campbell played with him as a teenager and subsequently. He was a student at Berklee College of Music from 1975 to 1979, where he played with Tiger Okoshi and Marlena Shaw, and led a band which included Kevin Eubanks. After graduating he became a member of Dizzy Gillespie's big band, where he worked until 1982; he then joined John McLaughlin's group until 1984. He recorded with Eubanks throughout the 1980s and played with Sonny Rollins, Tania Maria, Gary Burton, Igor Butman, and Makoto Ozone in the decade. After relocating to New York City in 1988, he worked with his own group alongside Charnett Moffett, Aydin Esen, and Eubanks. He also worked in a trio setting with David Kikoski and Alex Blake. As a sideman, he worked in the 1990s with Stanley Jordan, the Manhattan Transfer, the , David Murray, Ray Anderson, and Mingus Big Band. In early 1998 he moved to Japan and has split his time between the two countries since then. ","","Jazz","","Drum","",
"Clark_Terry","Clark Virgil Terry Jr. (December 14, 1920 ??February 21, 2015) was an American swing and bebop trumpeter, a pioneer of the flugelhorn in jazz, and a composer and educator. He played with Charlie Barnet (1947), Count Basie (1948??1), Duke Ellington (1951??9), Quincy Jones (1960), and Oscar Peterson (1964??6). He was with The Tonight Show Band on The Tonight Show from 1962 to 1972. His career in jazz spanned more than 70 years, during which he became one of the most recorded jazz musicians, appearing on over 900 recordings. Terry also mentored Quincy Jones, Miles Davis, Herbie Hancock, Wynton Marsalis, Pat Metheny, Dianne Reeves, and Terri Lyne Carrington. ","1940","Jazz,Bebop,Hard_bop,Swing_(jazz_performance_style)  ","Candid_Records,Pablo_Records,Prestige_Records,Mainstream_Records,Impulse!_Records","Flugelhorn  ,vocals ,Trumpet ","Musician   ,composer ",1940
"Wessell_Anderson","Wessell ""Warmdaddy"" Anderson (born 1966) is an American jazz alto and sopranino saxophonist. Anderson grew up in Bedford_Stuyvesant and Crown Heights, and played jazz early on at the urging of his father, who was a drummer. He played in local clubs from his early teenage years, and studied at the Jazzmobile workshops with Frank Wess, Charles Davis, and Frank Foster. He also met Branford Marsalis, who convinced him to study with Alvin Batiste at Southern University in Louisiana. Soon after this, Anderson began touring with the Wynton Marsalis Septet, and collaborated with Marsalis through the middle of the 1990s. He continued to play with Marsalis's Lincoln Center Jazz Orchestra beyond this. In 1994, he released his debut album on Atlantic Records; Eric Reed and Ben Wolfe were among those who played as sidemen. His 1998 album Live at the Village Vanguard featured Irvin Mayfield, Steve Kirby, Xavier Davis, and . ","1980","Jazz","","Saxophone ","Musician ",1980
"George_Mraz","George Mraz (born Ji?í Mráz; 9 September 1944 ??16 September 2021) was a Czech_born American jazz bassist and alto saxophonist. He was a member of Oscar Peterson's group, and worked with Pepper Adams, Stan Getz, Michel Petrucciani, Stephane Grappelli, Tommy Flanagan, Jimmy Raney, Chet Baker, Joe Henderson, John Abercrombie, John Scofield, and Richie Beirach, among others. During the 1970s, he was a member of the New York Jazz Quartet and The Thad Jones/Mel Lewis Orchestra, and in the 1980s a member of Quest. He also appeared with Joe Lovano, Hank Jones and Paul Motian on Lovano's records I'm All For You and Joyous Encounter. ","","Jazz","","","",
"Rickey_Minor","Rickey Minor is an American bass player, music director, composer and music producer. He was the musical director and bandleader on The Tonight Show with Jay Leno from 2010 to 2014, taking over after Kevin Eubanks left. Minor worked as musical director for American Idol. Minor has served as musical director for numerous superstar tours, including Whitney Houston, Christina Aguilera, Ray Charles, Alicia Keys and Beyoncé and for television productions, including the Grammy Awards, the NAACP Image Awards and the Super Bowl. He has received twelve Primetime Emmy Award nominations for Outstanding Music Direction, winning two of them, for Taking the Stage: African American Music and Stories That Changed America (2017) and The Kennedy Center Honors (2020). ","1985","Jazz, pop, R&B, rock, Soul ","","Bass, keyboards ","Composer,Record_producer,Music_director",1985
"Andrew_Hill_(jazz_musician)","Andrew Hill (June 30, 1931 ??April 20, 2007) was an American jazz pianist and composer. Jazz critic John Fordham described Hill as a ""uniquely gifted composer, pianist and educator"" although ""his status remained largely inside knowledge in the jazz world for most of his career."" Hill recorded for Blue Note Records for nearly a decade, producing a dozen albums. ","1954","Avant_garde_jazz,Jazz,Bebop,Hard_bop","Black_Saint/Soul_Note,Blue_Note_Records,SteepleChase_Records,Palmetto_Records","Piano, celeste, harpsichord ","Musician, bandleader, composer ",1954
"Robert_Stewart_(saxophonist)","Robert Darrin Stewart is an American saxophonist. He recorded several albums under his own name during the period 1994??006. He has also recorded as a sideman, including on trumpeter Wynton Marsalis' Blood on the Fields. Stewart went on multiple national and world tours during his 30_year career as a performer, both under his own name and with the Marsalis band. ","1986","Blues,Jazz,Rhythm_and_blues,Soul_music,Avant_garde_music,Middle_Eastern_music","Nagel_Heyer_Records,Qwest_Records,Warner_Records,Exodus_Records,Red_Records,Armageddon_Records,World_Stage_Records","","Musician ",1986
"Art_Pepper","Arthur Edward Pepper Jr. (September 1, 1925 ??June 15, 1982) was an American alto saxophonist and very occasional tenor saxophonist and clarinetist. Active in West Coast jazz, Pepper came to prominence in Stan Kenton's big band. He was known for his emotionally charged performances and several stylistic shifts throughout his career, and was described by critic Scott Yanow as having ""attained his goal of becoming the world's great altoist"" at the time of his death. ","1946","West_Coast_jazz,Jazz,Cool_jazz  ","Discovery_Records,Savoy_Records,Contemporary_Records,Galaxy_Records,Pacific_Jazz_Records,Fresh_Sound,Xanadu_Records",",Saxophone ,clarinet ","Musician ",1946
"Carla_Bley","Carla Bley (born Lovella May Borg, May 11, 1936) is an American jazz composer, pianist, organist and bandleader. An important figure in the free jazz movement of the 1960s, she is perhaps best known for her jazz opera Escalator over the Hill (released as a triple LP set), as well as a book of compositions that have been performed by many other artists, including Gary Burton, Jimmy Giuffre, George Russell, Art Farmer, John Scofield and her ex_husband Paul Bley. ","1960","Free_jazz,Post_bop,Jazz_fusion","Universal_Music_Group,ECM_Records","Piano, organ ","Musician, bandleader, composer ",1960
"Donald_Brown_(musician)","Donald Ray Brown (born March 28, 1954) is an American jazz pianist and producer. Brown was born in Hernando, Mississippi and raised in Memphis, Tennessee, where he learned to play trumpet and drums in his youth. From 1972 to 1975, he was a student at Memphis State University, by which time he had made piano his primary instrument. He was with Art Blakey's Jazz Messengers from 1981 to 1982, then took teaching positions at Berklee College of Music from 1983 to 1985 and the University of Tennessee from 1988. Brown has recorded for Evidence, Muse, and Sunnyside. ","1972","Jazz","Evidence_Music,Muse_Records,Sunnyside_Records","Piano ","Music producer, musician ",1972
"Reuben_Rogers","ر?ب? ر?جرز (با?إ?ج??ز?ة: Reuben Rogers)???? عاز? جاز ???ح? أ?ر???? ??د ?? 15 ????بر 1974 ?? سا?ت ت??اس ?? ا???ا?ات ا??تحدة. (ar),Reuben Renwick Rogers (* 15. November 1974 in Saint Thomas) ist ein amerikanischer Jazzmusiker (Kontrabass, Bassgitarre, auch Komposition). (de),Reuben Renwick Rogers (Saint Thomas, 15 november 1974) is een Amerikaanse jazzmuzikant (contrabas, basgitaar) en componist. (nl)","1992","Jazz,Reggae,World_music","","Double bass, bass guitar ","Musician, educator ",1992
"Yusef_Lateef","Yusef Abdul Lateef (born William Emanuel Huddleston; October 9, 1920 ??December 23, 2013) was an American jazz multi_instrumentalist, composer, and prominent figure among the Ahmadiyya Community in America. Although Lateef's main instruments were the tenor saxophone and flute, he also played oboe and bassoon, both rare in jazz, and non_western instruments such as the bamboo flute, shanai, shofar, xun, arghul and koto. He is known for having been an innovator in the blending of jazz with ""Eastern"" music. Peter Keepnews, in his New York Times obituary of Lateef, wrote that the musician ""played world music before world music had a name"". Lateef's books included two novellas entitled A Night in the Garden of Love and Another Avenue, the short story collections Spheres and Rain Shapes, also his autobiography, The Gentle Giant, written in collaboration with Herb Boyd. Along with his record label YAL Records, Lateef owned Fana Music, a music publishing company. Lateef published his own work through Fana, which includes Yusef Lateef's Flute Book of the Blues and many of his own orchestral compositions. ","1955","Post_bop,New_age_music,Swing_music,Jazz,World_music,Third_stream,Hard_bop,Jazz_fusion","Savoy_Records,Verve_Records,Prestige_Records,Riverside_Records,Atlantic_Records,CTI_Records,Impulse!_Records","Shofar,Bamboo_flute,Singing,Bassoon,Flute,Koto_(instrument),Oboe,Piano,Arghul,Shehnai,Tenor_saxophone","Musician, composer, educator, spokesman, author ",1955
"Eric_Lewis_(pianist)","Eric Robert Lewis (born May 13, 1973), popularly known as ELEW, is an American jazz pianist who has found cross_over success playing rock and pop music. He is known for his unconventional and physical playing style, which eschews a piano bench and includes reaching inside the piano lid to pull at the strings directly, as well as the creation that he calls ""Rockjazz"", a genre that ""takes the improvisational aspect of jazz and 'threads it through the eye of the needle of rock.'"" Lewis began his career as a jazz purist, playing as a sideman for jazz artists like Wynton Marsalis, Cassandra Wilson, Elvin Jones, Jon Hendricks, and Roy Hargrove as well as performing as a member of the Lincoln Center Jazz Orchestra. However, he eventually became interested in rock music and embarked on a solo career as a crossover musician, quickly gaining recognition for his instrumental ""Rockjazz"" piano covers of mainstream rock hits like The Rolling Stones' ""Paint It, Black"" and The Killers' ""Mr. Brightside"". He released his first album of instrumental covers, entitled ELEW Rockjazz Vol. 1, on his own label, Ninjazz Entertainment, in March 2010. His distinctive style has helped him to amass a large following of celebrity fans, including Barack and Michelle Obama (for whom he has played at the White House), Leonardo DiCaprio, Donna Karan, Téa Leoni, David Duchovny, Hugh Jackman, Forest Whitaker, and Gerard Butler. Throughout his career, he has performed with musicians such as Sting, The Roots, Natalie Cole, and Esperanza Spalding. In the spring of 2011, he joined singer_songwriter Josh Groban as the opening act on the American leg of the singer's Straight to You Tour. Around the same time, he appeared as a contestant in an audition on the NBC reality series America's Got Talent, where he received a standing ovation from the crowd and positive scores from all three judges. Despite his positive reception, he ultimately dropped out of the competition in order to tour with Groban. In August 2012, he was featured on a Mike Stud remix of the Maroon 5 song ""One More Night"". On August 28, 2012, Lewis released his second solo album: ELEW Rockjazz Vol. 2. ELEW held in late 2015 a preview concert of his upcoming album And To The Republic with Jeff ""Tain"" Watts and Reginald Veal at Dizzy's Club Coca_Cola. And To The Republic was released later the following year in November 2016. Since its conception the album has been praised by some of the largest jazz outlets and publications in the world such as NPR's ""Jazz Night In America"" hosted by Christian McBride, Jazz_Times, Downbeat, and All About Jazz. In summer 2016, ELEW was awarded The Novus Award at the Headquarters of the United Nations for contributing music and art to the world. ","1995","Jazz, ""Rockjazz"" ","","Piano","Pianist ",1995
"Wallace_Roney","Wallace Roney (May 25, 1960 ??March 31, 2020) was an American jazz (hard bop and post_bop) trumpeter. Roney took lessons from Clark Terry and Dizzy Gillespie and studied with Miles Davis from 1985 until the latter's death in 1991. Wallace credited Davis as having helped to challenge and shape his creative approach to life as well as being his music instructor, mentor, and friend; he was the only trumpet player Davis personally mentored. ","1975","Jazz ","","Trumpet ","Musician ",1975
"Herbie_Hancock","Herbert Jeffrey Hancock (born April 12, 1940) is an American jazz pianist, keyboardist, bandleader, composer, and occasional actor. Hancock started his career with trumpeter Donald Byrd?�s group. He shortly thereafter joined the Miles Davis Quintet, where he helped to redefine the role of a jazz rhythm section and was one of the primary architects of the post_bop sound. In the 1970s, Hancock experimented with jazz fusion, funk, and electro styles, utilizing a wide array of synthesizers and electronics. It was during this period that he released perhaps his best_known and most influential album, Head Hunters. Hancock's best_known compositions include ""Cantaloupe Island"", ""Watermelon Man"", ""Maiden Voyage"" and ""Chameleon"", all of which are jazz standards. During the 1980s, he enjoyed a hit single with the electronic instrumental ""Rockit"", a collaboration with bassist/producer Bill Laswell. His 2007 Joni Mitchell tribute album River: The Joni Letters won the 2008 Grammy Award for Album of the Year, only the second jazz album to win the award after Getz/Gilberto in 1965. Since 2012, Hancock has served as a professor at the University of California, Los Angeles, where he teaches at the UCLA Herb Alpert School of Music. He is also the chairman of the Herbie Hancock Institute of Jazz (formerly known as the Thelonious Monk Institute of Jazz until 2019). ","1961","Post_bop,Jazz,Modal_jazz,Classical_music,Jazz_fusion,Jazz_funk,Electro_(music)","Columbia_Records,Verve_Records,Blue_Note_Records,Warner_Records","Piano,Keyboard_instrument","Musician, singer_songwriter, composer, DJ, bandleader, record producer, arranger, actor ",1961
"John_Scofield","John Scofield (born December 26, 1951), sometimes referred to as ""Sco"", is an American jazz_rock guitarist and composer whose music includes bebop, jazz fusion, funk, blues, soul, and rock. He has worked with Miles Davis, Dave Liebman, Joe Henderson, Charles Mingus, Joey DeFrancesco, Herbie Hancock, Eddie Palmieri, Pat Metheny, Bill Frisell, Joe Lovano, Pat Martino, Mavis Staples, Phil Lesh, Billy Cobham, Medeski Martin & Wood, George Duke, Jaco Pastorius, John Mayer, Robert Glasper, and Gov't Mule. ","1970","Jazz,Acid_jazz,Jazz_fusion","Verve_Records,EmArcy_Records,Blue_Note_Records,Gramavision_Records,Enja_Records","Guitar ","Musician, composer ",1970
"Johnny_Griffin","John Arnold Griffin III (April 24, 1928 ??July 25, 2008) was an American jazz tenor saxophonist. Nicknamed ""the Little Giant"" for his short stature and forceful playing, Griffin's career began in the mid_1940s and continued until the month of his death. A pioneering figure in hard bop, Griffin recorded prolifically as a bandleader in addition to stints with pianist Thelonious Monk, drummer Art Blakey, in partnership with fellow tenor Eddie ""Lockjaw"" Davis and as a member of the Kenny Clarke/Francy Boland Big Band after he moved to Europe in the 1960s. In 1995, Griffin was awarded an Honorary Doctorate of Music from Berklee College of Music. ","1940","Jazz","Riverside_Records,Blue_Note_Records","Tenor_saxophone","Musician ",1940
"Branford_Marsalis","Branford Marsalis (born August 26, 1960) is an American saxophonist, composer, and bandleader. While primarily known for his work in jazz as the leader of the Branford Marsalis Quartet, he also performs frequently as a soloist with classical ensembles and has led the group Buckshot LeFonque. From 1992 to 1995 he led the Tonight Show Band. ","1980","Jazz","Columbia_Records,Marsalis_Music","Saxophone ","Musician ",1980
"Bobby_Timmons","Robert Henry Timmons (December 19, 1935 ??March 1, 1974) was an American jazz pianist and composer. He was a sideman in Art Blakey's Jazz Messengers for two periods (July 1958 to September 1959; February 1960 to June 1961), between which he was part of Cannonball Adderley's band. Several of Timmons' compositions written when part of these bands ??including ""Moanin'"", ""Dat Dere"", and ""This Here"" ??enjoyed commercial success and brought him more attention. In the early and mid_1960s he led a series of piano trios that toured and recorded extensively. Timmons was strongly associated with the soul jazz style that he helped initiate. This link to apparently simple writing and playing, coupled with drug and alcohol addiction, led to a decline in his career. Timmons died, aged 38, from cirrhosis. Several critics have commented that his contribution to jazz remains undervalued. ","1970","Jazz","Milestone_Records,Prestige_Records,Riverside_Records","Piano, vibraphone ","Musician, composer ",1970
"Don_Henley","Donald Hugh ""Don"" Henley (born July 22, 1947) is an American musician, singer, songwriter, record producer, and a founding member of the rock band Eagles. He was the drummer and co_lead vocalist for the Eagles from 1971 until the band broke up in 1980, and has reprised those duties for the group's reunions since 1994. Henley sang the lead vocals on Eagles hits such as ""Witchy Woman"", ""Desperado"", ""Best of My Love"", ""One of These Nights"", ""Hotel California"", ""Life in the Fast Lane"", ""The Long Run"" and ""Get Over It"". After the Eagles broke up in 1980, Henley pursued a solo career and released his debut album I Can't Stand Still, in 1982. He has released five studio albums, two compilation albums, and one live DVD. His solo hits include ""Dirty Laundry"", ""The Boys of Summer"", ""All She Wants to Do Is Dance"", ""The Heart of the Matter"", ""The Last Worthless Evening"", ""Sunset Grill"", ""Not Enough Love in the World"", and ""The End of the Innocence"". The Eagles have sold over 150 million albums worldwide, won six Grammy Awards, had five number_one singles, 17 top_40 singles, and six number_one albums. They were inducted into the Rock and Roll Hall of Fame in 1998 and are the highest_selling American band in history. As a solo artist, Henley has sold over 10 million albums worldwide, had eight top_40 singles, won two Grammy Awards and five MTV Video Music Awards. Combined with the Eagles and as a solo artist, Henley has released 25 top_40 singles on the Billboard Hot 100. He has also released seven studio albums with the Eagles and five as a solo artist. In 2008, he was ranked as the 87th_greatest singer of all time by Rolling Stone magazine. Henley has also played a founding role in several environmental and political causes, most notably the Walden Woods Project. From 1994 to 2016, he divided his musical activities between the Eagles and his solo career. ","1970",",Rock ,folk rock ,hard rock ,country rock ","Capitol_Records,Geffen_Records,Asylum_Records,Warner_Records",",Vocals ,drums ,guitar ","Singer   ,producer ,lyricist ",1970
"Magos_Herrera","Magos Herrera (born October 24, 1970) is a Mexican jazz singer, songwriter, producer, and educator. She sings in English, Spanish, and Portuguese, and has collaborated with Javier Limón, saxophonist Tim Ries, Aaron Goldberg, Pedro Aznar, Ed Simon Trio, John Patitucci, Luis Perdomo, Adam Rogers, Tim Hagans, Alex Kautz, composer Paola Prestini, former Kronos Quartet cellist Jeff Zeigler, and many others. Herrera was nominated in 2006 and 2009 for Lunas del Auditorio Awards, presented by Mexico City?�s Auditorio Nacional for the best live performances, for Best Jazz Concert of the Year. Her 2009 album Distancia was nominated for a Best Jazz Vocal Album Grammy Award. Herrera was given the Berklee Latin Masters Award in 2015. In 2011 she was selected along with Michelle Obama as one of the most important women of the year by Siempre Mujer magazine. Herrera is a United Nation's spokesperson for UN Women UNITE, a program promoting the elimination of violence against women, and the UN's ""He For She"" campaigns to promote gender equality. She currently lives in Brooklyn, New York, with her husband, Brazilian jazz drummer Alexandre Kautz. ","1997","Jazz, Latin, pop, rock ","Okeh_Records,Sony_Music,Sunnyside_Records","","Singer, songwriter, producer, educator ",1997
"Billy_Higgins","Billy Higgins (October 11, 1936 ??May 3, 2001) was an American jazz drummer. He played mainly free jazz and hard bop. ","","Jazz","","Drums ","Musician, educator ",
